director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Alex Ross Perry,Emily Browning,Emily Browning,Emily Browning,Drama,Golden Exits
"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis",Chadwick Boseman,Chadwick Boseman,Chadwick Boseman,Action Adventure Fantasy Science Fiction,Black Panther
Nick Park,Eddie Redmayne,Eddie Redmayne,Eddie Redmayne,Family Comedy Animation Adventure,Early Man
Andrey Zvyagintsev,Maryana Spivak,Maryana Spivak,Maryana Spivak,Drama,Loveless
Sally Potter,Timothy Spall,Timothy Spall,Timothy Spall,Comedy,The Party
Mark Pellington,Jon Hamm,Jon Hamm,Jon Hamm,Drama,Nostalgia
Lance Daly,Hugo Weaving,Hugo Weaving,Hugo Weaving,Drama Western,Black '47
Bruce Macdonald,Taylor James,Taylor James,Taylor James,Action Drama Adventure,Samson
"Jonathan Goldstein, John Francis Daley",Jason Bateman,Jason Bateman,Jason Bateman,Mystery Comedy Crime,Game Night
Alex Garland,Natalie Portman,Natalie Portman,Natalie Portman,Action Science Fiction Horror Mystery,Annihilation
Michael Sucsy,Angourie Rice,Angourie Rice,Angourie Rice,Drama Fantasy Romance,Every Day
David Freyne,David Freyne (director); Ellen Page,David Freyne (director); Ellen Page,David Freyne (director); Ellen Page,Horror Drama Science Fiction,The Cured
Brian O'Malley,Charlotte Vega,Charlotte Vega,Charlotte Vega,Drama Horror Romance Thriller,The Lodgers
Francis Lawrence,Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Mystery Thriller,Red Sparrow
Eli Roth,Bruce Willis,Bruce Willis,Bruce Willis,Action Crime Drama Thriller,Death Wish
Shawn Christensen,Logan Lerman,Logan Lerman,Logan Lerman,Drama Mystery,The Vanishing of Sidney Hall
Samuel Maoz,Lior Ashkenazi,Lior Ashkenazi,Lior Ashkenazi,Comedy Drama War,Foxtrot
Usher Morgan,Elyse Price,Elyse Price,Elyse Price,Action Crime Thriller Drama Mystery,Pickings
Ava DuVernay,Storm Reid,Storm Reid,Storm Reid,Adventure Science Fiction Family Fantasy,A Wrinkle in Time
Nash Edgerton,David Oyelowo,David Oyelowo,David Oyelowo,Comedy Action,Gringo
Cory Finley,Olivia Cooke,Olivia Cooke,Olivia Cooke,Drama Thriller,Thoroughbreds
Armando Iannucci,Steve Buscemi,Steve Buscemi,Steve Buscemi,Comedy Drama History,The Death of Stalin
Paolo Virzì,Donald Sutherland,Donald Sutherland,,Drama Romance Adventure,The Leisure Seeker
Johannes Roberts,Christina Hendricks,Christina Hendricks,Christina Hendricks,Horror Thriller,The Strangers: Prey at Night
Rob Cohen,Toby Kebbell,Toby Kebbell,Toby Kebbell,Action Crime Thriller,The Hurricane Heist
Roar Uthaug,Alicia Vikander,Alicia Vikander,Alicia Vikander,Action Adventure Fantasy,Tomb Raider
Greg Berlanti,Nick Robinson,Nick Robinson,Nick Robinson,Comedy Drama Romance,"Love, Simon"
Jon Erwin,Cloris Leachman,Cloris Leachman,Cloris Leachman,Music Drama,I Can Only Imagine
José Padilha,Rosamund Pike,Rosamund Pike,Rosamund Pike,Thriller Drama Crime,7 Days in Entebbe
Laurie Collyer,Melissa Leo,Melissa Leo,Melissa Leo,Comedy,Furlough
Eric England,Sophie Turner,Sophie Turner,Sophie Turner,Thriller Drama,Josie
Max Winkler,Zoey Deutch,Zoey Deutch,Zoey Deutch,Drama Comedy,Flower
Steven S. DeKnight,John Boyega,John Boyega,John Boyega,Action Fantasy Science Fiction Adventure,Pacific Rim: Uprising
Wes Anderson,Bryan Cranston,Bryan Cranston,Bryan Cranston,Adventure Comedy Animation,Isle of Dogs
John Stevenson,James McAvoy,James McAvoy,James McAvoy,Animation Family Fantasy Comedy Adventure Mystery,Sherlock Gnomes
Steven Soderbergh,Claire Foy,Claire Foy,Claire Foy,Horror Thriller,Unsane
Andrew Hyatt,James Faulkner,James Faulkner,James Faulkner,History Drama,"Paul, Apostle of Christ"
Stanley Tucci,Geoffrey Rush,Geoffrey Rush,Geoffrey Rush,Drama History,Final Portrait
Scott Speer,Bella Thorne,Bella Thorne,Bella Thorne,Romance Drama,Midnight Sun
Ryan Justice,Amanda Delaney,Amanda Delaney,Amanda Delaney,Thriller,Followers
Steven Spielberg,Tye Sheridan,Tye Sheridan,Tye Sheridan,Adventure Science Fiction,Ready Player One
Tyler Perry,Taraji P. Henson,Taraji P. Henson,Taraji P. Henson,Thriller,Tyler Perry's Acrimony
Michael Mason,David A. R. White,David A. R. White,David A. R. White,Drama,God's Not Dead: A Light in Darkness
Aaron Katz,Lola Kirke,Lola Kirke,Lola Kirke,Action Drama Science Fiction Thriller,Gemini
Adam Rifkin,Burt Reynolds,Burt Reynolds,Burt Reynolds,Drama,The Last Movie Star
John Krasinski,John Krasinski,John Krasinski,John Krasinski,Horror Drama Science Fiction,A Quiet Place
