director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,language,comb
Clive Barker,Fantasy Horror,Andrew Robinson,Ashley Laurence,Clare Higgins,hellraiser,English,Andrew Robinson Ashley Laurence Clare Higgins Clive Barker Fantasy Horror
Harold Cronk,Drama,Benjamin A. Onyango,Robin Givens,Maria Canals-Barrera,god's not dead 2,English,Benjamin A. Onyango Robin Givens Maria Canals-Barrera Harold Cronk Drama
Jeff Wadlow,Drama Horror Mystery Thriller,Julian Morris,Gary Cole,Lindy Booth,cry_wolf,English,Julian Morris Gary Cole Lindy Booth Jeff Wadlow Drama Horror Mystery Thriller
Takao Okawara,Action Adventure Drama Sci-Fi Thriller,Hiroshi Abe,Naomi Nishida,Sakae Kimura,godzilla 2000,Japanese,Hiroshi Abe Naomi Nishida Sakae Kimura Takao Okawara Action Adventure Drama Sci-Fi Thriller
Derek Cianfrance,Drama Romance,Ryan Gosling,Mike Vogel,John Doman,blue valentine,English,Ryan Gosling Mike Vogel John Doman Derek Cianfrance Drama Romance
Duncan Tucker,Adventure Comedy Drama,Kevin Zegers,Felicity Huffman,Paul Borghese,transamerica,English,Kevin Zegers Felicity Huffman Paul Borghese Duncan Tucker Adventure Comedy Drama
William Brent Bell,Horror,Fernanda Andrade,Claudiu Trandafir,Brian Johnson,the devil inside,English,Fernanda Andrade Claudiu Trandafir Brian Johnson William Brent Bell Horror
Russ Meyer,Comedy Drama Music,Charles Napier,Cynthia Myers,Harrison Page,beyond the valley of the dolls,English,Charles Napier Cynthia Myers Harrison Page Russ Meyer Comedy Drama Music
Robert D. Webb,Drama Romance Western,James Drury,Neville Brand,Debra Paget,love me tender,English,James Drury Neville Brand Debra Paget Robert D. Webb Drama Romance Western
Davis Guggenheim,Documentary,Billy West,Al Gore,unknown,an inconvenient truth,English,Billy West Al Gore unknown Davis Guggenheim Documentary
Allan Dwan,Action Drama Romance War,James Brown,Richard Jaeckel,Forrest Tucker,sands of iwo jima,English,James Brown Richard Jaeckel Forrest Tucker Allan Dwan Action Drama Romance War
Martin Scorsese,Biography Documentary Music,Mick Jagger,Keith Richards,Albert Maysles,shine a light,English,Mick Jagger Keith Richards Albert Maysles Martin Scorsese Biography Documentary Music
Eli Roth,Adventure Horror,Daryl Sabara,Richard Burgi,Magda Apanowicz,the green inferno,English,Daryl Sabara Richard Burgi Magda Apanowicz Eli Roth Adventure Horror
Andrew Steggall,Drama Family Romance,Juliet Stevenson,Alex Lawther,Niamh Cusack,departure,English,Juliet Stevenson Alex Lawther Niamh Cusack Andrew Steggall Drama Family Romance
Ben Lewin,Biography Comedy Drama Romance,W. Earl Brown,Adam Arkin,Rhea Perlman,the sessions,English,W. Earl Brown Adam Arkin Rhea Perlman Ben Lewin Biography Comedy Drama Romance
Robert Kenner,Documentary,Michael Pollan,Eric Schlosser,Barbara Kowalcyk,"food, inc.",English,Michael Pollan Eric Schlosser Barbara Kowalcyk Robert Kenner Documentary
Andrew Erwin,Drama,Rachel Hendrix,Robert Amaya,Jason Burkey,october baby,English,Rachel Hendrix Robert Amaya Jason Burkey Andrew Erwin Drama
Brad Anderson,Comedy Drama Romance,Philip Seymour Hoffman,Callie Thorne,Holland Taylor,next stop wonderland,English,Philip Seymour Hoffman Callie Thorne Holland Taylor Brad Anderson Comedy Drama Romance
Jason Reitman,Comedy Drama Romance,J.K. Simmons,Jennifer Garner,Rainn Wilson,juno,English,J.K. Simmons Jennifer Garner Rainn Wilson Jason Reitman Comedy Drama Romance
Craig Johnson,Comedy Drama,Ty Burrell,Boyd Holbrook,Kathleen Rose Perkins,the skeleton twins,English,Ty Burrell Boyd Holbrook Kathleen Rose Perkins Craig Johnson Comedy Drama
Sean Durkin,Drama Mystery Thriller,Christopher Abbott,Julia Garner,Brady Corbet,martha marcy may marlene,English,Christopher Abbott Julia Garner Brady Corbet Sean Durkin Drama Mystery Thriller
Gillian Robespierre,Comedy Drama,Gaby Hoffmann,Jenny Slate,Jake Lacy,obvious child,English,Gaby Hoffmann Jenny Slate Jake Lacy Gillian Robespierre Comedy Drama
Courtney Hunt,Crime Drama,Charlie McDermott,Michael O'Keefe,Misty Upham,frozen river,English,Charlie McDermott Michael O'Keefe Misty Upham Courtney Hunt Crime Drama
Morgan Neville,Documentary Music,Sheryl Crow,Lou Adler,Merry Clayton,20 feet from stardom,English,Sheryl Crow Lou Adler Merry Clayton Morgan Neville Documentary Music
James Toback,Comedy Drama,Robert Downey Jr.,Natasha Gregson Wagner,Angel David,two girls and a guy,English,Robert Downey Jr. Natasha Gregson Wagner Angel David James Toback Comedy Drama
Nicole Holofcener,Comedy Drama Romance,Kevin Corrigan,Anne Heche,Vincent Pastore,walking and talking,English,Kevin Corrigan Anne Heche Vincent Pastore Nicole Holofcener Comedy Drama Romance
Peter Cattaneo,Comedy Drama Music,Tom Wilkinson,Mark Addy,Lesley Sharp,the full monty,English,Tom Wilkinson Mark Addy Lesley Sharp Peter Cattaneo Comedy Drama Music
Chris Paine,Documentary,Ed Begley Jr.,Phyllis Diller,Colette Divine,who killed the electric car?,English,Ed Begley Jr. Phyllis Diller Colette Divine Chris Paine Documentary
Greg Berlanti,Comedy Drama Romance Sport,Justin Theroux,Nia Long,Mary McCormack,the broken hearts club: a romantic comedy,English,Justin Theroux Nia Long Mary McCormack Greg Berlanti Comedy Drama Romance Sport
Don Coscarelli,Comedy Fantasy Mystery,Daniel Roebuck,Ossie Davis,Ella Joyce,bubba ho-tep,English,Daniel Roebuck Ossie Davis Ella Joyce Don Coscarelli Comedy Fantasy Mystery
Rob Letterman,Adventure Comedy Family Fantasy Horror,Odeya Rush,Dylan Minnette,Ken Marino,goosebumps,English,Odeya Rush Dylan Minnette Ken Marino Rob Letterman Adventure Comedy Family Fantasy Horror
Marc Levin,Drama,Sonja Sohn,Saul Williams,Bonz Malone,slam,English,Sonja Sohn Saul Williams Bonz Malone Marc Levin Drama
Richard Dutcher,Crime Drama Mystery,Wilford Brimley,Frank Gerrish,Rick Macy,brigham city,English,Wilford Brimley Frank Gerrish Rick Macy Richard Dutcher Crime Drama Mystery
Khalid Mohamed,Drama Romance,Karisma Kapoor,Manoj Bajpayee,Jaya Bhaduri,fiza,Hindi,Karisma Kapoor Manoj Bajpayee Jaya Bhaduri Khalid Mohamed Drama Romance
Mel Brooks,Comedy,Madeline Kahn,Sid Caesar,Dom DeLuise,history of the world: part i,English,Madeline Kahn Sid Caesar Dom DeLuise Mel Brooks Comedy
Trey Parker,Comedy Sci-Fi,Trey Parker,Dian Bachar,Matt Stone,orgazmo,English,Trey Parker Dian Bachar Matt Stone Trey Parker Comedy Sci-Fi
David Gordon Green,Drama Romance,Zooey Deschanel,Paul Schneider,Shea Whigham,all the real girls,English,Zooey Deschanel Paul Schneider Shea Whigham David Gordon Green Drama Romance
Finn Taylor,Comedy Drama,David Arquette,Cathy Moriarty,Kathryn Erbe,dream with the fishes,English,David Arquette Cathy Moriarty Kathryn Erbe Finn Taylor Comedy Drama
Karen Moncrieff,Drama,Frances Fisher,Agnes Bruckner,A.J. Buckley,blue car,English,Frances Fisher Agnes Bruckner A.J. Buckley Karen Moncrieff Drama
José Luis Valenzuela,Comedy Romance,Cheech Marin,Lupe Ontiveros,Robert Beltran,luminarias,English,Cheech Marin Lupe Ontiveros Robert Beltran José Luis Valenzuela Comedy Romance
Gia Coppola,Drama,James Franco,Nat Wolff,Olivia Crocicchia,palo alto,English,James Franco Nat Wolff Olivia Crocicchia Gia Coppola Drama
Scandar Copti,Crime Drama,Shahir Kabaha,Scandar Copti,Ranin Karim,ajami,Arabic,Shahir Kabaha Scandar Copti Ranin Karim Scandar Copti Crime Drama
Goran Dukic,Comedy Drama Fantasy Romance,Leslie Bibb,Patrick Fugit,Chase Ellison,wristcutters: a love story,English,Leslie Bibb Patrick Fugit Chase Ellison Goran Dukic Comedy Drama Fantasy Romance
Mike Cahill,Drama Romance Sci-Fi,Steven Yeun,Cara Seymour,Venida Evans,i origins,English,Steven Yeun Cara Seymour Venida Evans Mike Cahill Drama Romance Sci-Fi
Efram Potelle,Comedy Drama Romance,Shiri Appleby,Elden Henson,Kathleen Quinlan,the battle of shaker heights,English,Shiri Appleby Elden Henson Kathleen Quinlan Efram Potelle Comedy Drama Romance
Peter Jackson,Drama Fantasy Thriller,Michael Imperioli,AJ Michalka,Tom McCarthy,the lovely bones,English,Michael Imperioli AJ Michalka Tom McCarthy Peter Jackson Drama Fantasy Thriller
Joshua Oppenheimer,Biography Crime Documentary History,Anwar Congo,Herman Koto,Syamsul Arifin,the act of killing,Indonesian,Anwar Congo Herman Koto Syamsul Arifin Joshua Oppenheimer Biography Crime Documentary History
Alex Gibney,Crime Documentary War,Alex Gibney,George W. Bush,Greg D'Agostino,taxi to the dark side,English,Alex Gibney George W. Bush Greg D'Agostino Alex Gibney Crime Documentary War
Paul Crowder,Documentary Sport,Pelé,Marv Albert,Ahmet Ertegun,once in a lifetime: the extraordinary story of the new york cosmos,English,Pelé Marv Albert Ahmet Ertegun Paul Crowder Documentary Sport
Rohit Jagessar,Drama,Kumar Gaurav,Rufus Graham,Aasheekaa Bathija,guiana 1838,English,Kumar Gaurav Rufus Graham Aasheekaa Bathija Rohit Jagessar Drama
Griffin Dunne,Comedy Drama,Mira Sorvino,Fisher Stevens,Melissa Gilbert,lisa picard is famous,English,Mira Sorvino Fisher Stevens Melissa Gilbert Griffin Dunne Comedy Drama
Anthony Powell,Adventure Biography Documentary Drama,Josh Swanson,Tom Hamann,Anthony Powell,antarctica: a year on ice,English,Josh Swanson Tom Hamann Anthony Powell Anthony Powell Adventure Biography Documentary Drama
Kief Davidson,Documentary,G.W. Krauss,Brian Whitaker,Jason Bateman,a lego brickumentary,English,G.W. Krauss Brian Whitaker Jason Bateman Kief Davidson Documentary
Johnny Remo,Action Drama,Matthew Ziff,Randy Wayne,Raquel Elizabeth Ames,hardflip,English,Matthew Ziff Randy Wayne Raquel Elizabeth Ames Johnny Remo Action Drama
Vivek Agnihotri,Thriller,Emraan Hashmi,Anil Kapoor,Sunil Shetty,chocolate: deep dark secrets,Hindi,Emraan Hashmi Anil Kapoor Sunil Shetty Vivek Agnihotri Thriller
Ti West,Horror,Lena Dunham,Greta Gerwig,Dee Wallace,the house of the devil,English,Lena Dunham Greta Gerwig Dee Wallace Ti West Horror
Nick Tomnay,Comedy Crime Thriller,David Hyde Pierce,Clayne Crawford,Nathaniel Parker,the perfect host,English,David Hyde Pierce Clayne Crawford Nathaniel Parker Nick Tomnay Comedy Crime Thriller
John Hamburg,Comedy Crime,Harvey Fierstein,Michael Lerner,Josh Pais,safe men,English,Harvey Fierstein Michael Lerner Josh Pais John Hamburg Comedy Crime
Nickolas Perry,Crime Drama Romance,Patrick Renna,Patsy Kensit,Adrienne Frantz,speedway junky,English,Patrick Renna Patsy Kensit Adrienne Frantz Nickolas Perry Crime Drama Romance
Dan Zukovic,Comedy Drama,Yul Vazquez,Louis Mustillo,James Lorinz,the last big thing,English,Yul Vazquez Louis Mustillo James Lorinz Dan Zukovic Comedy Drama
Craig Mazin,Action Comedy Fantasy Sci-Fi,Judy Greer,James Gunn,Jamie Kennedy,the specials,English,Judy Greer James Gunn Jamie Kennedy Craig Mazin Action Comedy Fantasy Sci-Fi
Becky Smith,Comedy Romance,Will Rothhaar,Emily Baldoni,Hallee Hirsh,16 to life,English,Will Rothhaar Emily Baldoni Hallee Hirsh Becky Smith Comedy Romance
Eric Nicholas,Crime Drama Thriller,Jordana Spiro,Ana Claudia Talancón,Jonathon Trent,alone with her,English,Jordana Spiro Ana Claudia Talancón Jonathon Trent Eric Nicholas Crime Drama Thriller
Benjamin Dickinson,Drama Sci-Fi,Nora Zehetner,Alexia Rasmussen,Meredith Hagner,creative control,English,Nora Zehetner Alexia Rasmussen Meredith Hagner Benjamin Dickinson Drama Sci-Fi
Hal Haberman,Comedy Drama Sci-Fi,Michael Rapaport,Paul Blackthorne,Ian Bohen,special,English,Michael Rapaport Paul Blackthorne Ian Bohen Hal Haberman Comedy Drama Sci-Fi
Darren Stein,Comedy Drama,Frances Bay,Jamie Kennedy,Veronica Cartwright,sparkler,English,Frances Bay Jamie Kennedy Veronica Cartwright Darren Stein Comedy Drama
A. Raven Cruz,Action Adventure Comedy Fantasy Sci-Fi,Scott Levy,Vanilla Ice,Jennifer Sky,the helix... loaded,English,Scott Levy Vanilla Ice Jennifer Sky A. Raven Cruz Action Adventure Comedy Fantasy Sci-Fi
Brian Trenchard-Smith,Action Drama,David Keith,Mariel Hemingway,Jesse Hutch,in her line of fire,English,David Keith Mariel Hemingway Jesse Hutch Brian Trenchard-Smith Action Drama
Frank Whaley,Comedy Drama,Lynn Cohen,Frank Whaley,Heather Bucha,the jimmy show,English,Lynn Cohen Frank Whaley Heather Bucha Frank Whaley Comedy Drama
Amat Escalante,Crime Drama Romance,Kenny Johnston,Andrea Vergara,Gabriel Reyes,heli,Spanish,Kenny Johnston Andrea Vergara Gabriel Reyes Amat Escalante Crime Drama Romance
Wajahat Rauf,Comedy Family,Rasheed Naz,Ayesha Omar,Javed Sheikh,karachi se lahore,Urdu,Rasheed Naz Ayesha Omar Javed Sheikh Wajahat Rauf Comedy Family
Katherine Brooks,Drama Romance,Ilene Graff,Kevin McCarthy,Laura Breckenridge,loving annabelle,English,Ilene Graff Kevin McCarthy Laura Breckenridge Katherine Brooks Drama Romance
David Cross,Comedy Drama,Jason Ritter,Matt Walsh,Amy Sedaris,hits,English,Jason Ritter Matt Walsh Amy Sedaris David Cross Comedy Drama
Randall Rubin,Crime Drama Thriller,Nicole Randall Johnson,A.J. Buckley,James Eckhouse,jimmy and judy,English,Nicole Randall Johnson A.J. Buckley James Eckhouse Randall Rubin Crime Drama Thriller
Robert Bennett,Comedy,Randy Wayne,Lauren C. Mayhew,Alicia Ziegler,frat party,English,Randy Wayne Lauren C. Mayhew Alicia Ziegler Robert Bennett Comedy
Guy Hamilton,Drama,Oliver Reed,Eddie Albert,Louise Sorel,the party's over,English,Oliver Reed Eddie Albert Louise Sorel Guy Hamilton Drama
Mary Pat Kelly,Drama,Aidan Quinn,Ossie Davis,Janet Hubert,proud,English,Aidan Quinn Ossie Davis Janet Hubert Mary Pat Kelly Drama
Lori Petty,Drama,Jennifer Lawrence,Chloë Grace Moretz,Bokeem Woodbine,the poker house,English,Jennifer Lawrence Chloë Grace Moretz Bokeem Woodbine Lori Petty Drama
Charlie Levi,Drama,Joe Mantegna,Barbara Hershey,Diane Venora,childless,English,Joe Mantegna Barbara Hershey Diane Venora Charlie Levi Drama
Kevin Hamedani,Comedy Horror Sci-Fi,Russell Hodgkinson,Janette Armand,Kevin Hamedani,zmd: zombies of mass destruction,English,Russell Hodgkinson Janette Armand Kevin Hamedani Kevin Hamedani Comedy Horror Sci-Fi
David DeCoteau,Horror,Maureen McCormick,Shanley Caswell,Tim Abell,snow white: a deadly summer,English,Maureen McCormick Shanley Caswell Tim Abell David DeCoteau Horror
Mikel Rueda,Drama Romance,Álex Angulo,Germán Alcarazu,Joseba Ugalde,hidden away,Spanish,Álex Angulo Germán Alcarazu Joseba Ugalde Mikel Rueda Drama Romance
Stefan C. Schaefer,Comedy Drama Romance,Nicole Beharie,Marlene Forte,Reg E. Cathey,my last day without you,English,Nicole Beharie Marlene Forte Reg E. Cathey Stefan C. Schaefer Comedy Drama Romance
Michael Taliferro,Comedy Music,Wesley Jonathan,Sticky Fingaz,Chrystee Pharris,steppin: the movie,English,Wesley Jonathan Sticky Fingaz Chrystee Pharris Michael Taliferro Comedy Music
David DeCoteau,Western,William McNamara,Tom Berenger,Randy Jay Burrell,doc holliday's revenge,English,William McNamara Tom Berenger Randy Jay Burrell David DeCoteau Western
Katie Aselton,Horror Thriller,Katie Aselton,Anslem Richardson,Jay Paulson,black rock,English,Katie Aselton Anslem Richardson Jay Paulson Katie Aselton Horror Thriller
Robert Heath,Horror Mystery,David Oakes,Alexander Vlahos,Jennie Jacques,truth or die,English,David Oakes Alexander Vlahos Jennie Jacques Robert Heath Horror Mystery
D. Stevens,Drama Thriller,Magi Avila,Pierre Dulat,Summer Napoles,the pet,English,Magi Avila Pierre Dulat Summer Napoles D. Stevens Drama Thriller
Jeffrey St. Jules,Drama Musical Sci-Fi,Boyd Banks,Chloe Rose,Kristian Bruun,bang bang baby,English,Boyd Banks Chloe Rose Kristian Bruun Jeffrey St. Jules Drama Musical Sci-Fi
Robert Hall,Horror,Angelina Armani,Kevin Gage,Fiona Dourif,fear clinic,English,Angelina Armani Kevin Gage Fiona Dourif Robert Hall Horror
K. King,Action Comedy Horror,Jason K. Wixom,Shona Kay,Jarrod Phillips,zombie hunter,English,Jason K. Wixom Shona Kay Jarrod Phillips K. King Action Comedy Horror
Jonathan Meyers,Drama,Justin Baldoni,Luke Perry,Leonor Varela,a fine step,unknown,Justin Baldoni Luke Perry Leonor Varela Jonathan Meyers Drama
Danny Boyle,Crime Drama Mystery Thriller,Rosario Dawson,Spencer Wilding,Tuppence Middleton,trance,English,Rosario Dawson Spencer Wilding Tuppence Middleton Danny Boyle Crime Drama Mystery Thriller
Ralph Nelson,Drama Romance Sci-Fi,Cliff Robertson,Dick Van Patten,Claire Bloom,charly,English,Cliff Robertson Dick Van Patten Claire Bloom Ralph Nelson Drama Romance Sci-Fi
Blair Erickson,Horror Thriller,Monique Candelaria,Katia Winter,Michael McMillian,banshee chapter,English,Monique Candelaria Katia Winter Michael McMillian Blair Erickson Horror Thriller
unknown,Comedy,Eric Lloyd,David DeLuise,Bruno Campos,jesse            ,English,Eric Lloyd David DeLuise Bruno Campos unknown Comedy
Allison Burnett,Drama,Kimberly Williams-Paisley,Gia Mantegna,Cathryn de Prume,ask me anything,English,Kimberly Williams-Paisley Gia Mantegna Cathryn de Prume Allison Burnett Drama
Richard Schenkman,Comedy Romance,Vanessa Williams,Mike Colter,Eartha Kitt,and then came love,English,Vanessa Williams Mike Colter Eartha Kitt Richard Schenkman Comedy Romance
Sanjay Rawal,Documentary News,Alma Martinez,Robert Kennedy Jr.,Eve Ensler,food chains,English,Alma Martinez Robert Kennedy Jr. Eve Ensler Sanjay Rawal Documentary News
Elia Kazan,Crime Drama Romance,Marlon Brando,Karl Malden,Rod Steiger,on the waterfront,English,Marlon Brando Karl Malden Rod Steiger Elia Kazan Crime Drama Romance
Kat Coiro,Comedy,Justin Kirk,Geoff Stults,Kristen Johnston,l!fe happens,English,Justin Kirk Geoff Stults Kristen Johnston Kat Coiro Comedy
Cristian Mungiu,Drama,Anamaria Marinca,Vlad Ivanov,Alexandru Potocean,"4 months, 3 weeks and 2 days",Romanian,Anamaria Marinca Vlad Ivanov Alexandru Potocean Cristian Mungiu Drama
Brian Dorton,Horror,Javier Botet,Brian Dorton,Jan Cornet,the horror network vol. 1,English,Javier Botet Brian Dorton Jan Cornet Brian Dorton Horror
David Slade,Crime Drama Thriller,Odessa Rae,G.J. Echternkamp,Patrick Wilson,hard candy,English,Odessa Rae G.J. Echternkamp Patrick Wilson David Slade Crime Drama Thriller
Jamie Babbit,Drama Thriller,Katy Mixon,David Gallagher,Edie Falco,the quiet,English,Katy Mixon David Gallagher Edie Falco Jamie Babbit Drama Thriller
Maryam Keshavarz,Drama,Sarah Kazemy,Reza Sixo Safai,Sina Amedson,circumstance,Persian,Sarah Kazemy Reza Sixo Safai Sina Amedson Maryam Keshavarz Drama
Ryan Coogler,Biography Drama Romance,Ahna O'Reilly,Melonie Diaz,Ariana Neal,fruitvale station,English,Ahna O'Reilly Melonie Diaz Ariana Neal Ryan Coogler Biography Drama Romance
Ramaa Mosley,Comedy Fantasy Thriller,Jack McBrayer,Michael Angarano,Alia Shawkat,the brass teapot,English,Jack McBrayer Michael Angarano Alia Shawkat Ramaa Mosley Comedy Fantasy Thriller
James Algar,Animation Drama Family,Sam Edwards,Donnie Dunagan,Ann Gillis,bambi,English,Sam Edwards Donnie Dunagan Ann Gillis James Algar Animation Drama Family
Charles Herman-Wurmfeld,Comedy Romance Sport,John Enos III,Rian Bishop,Adam Carolla,the hammer,English,John Enos III Rian Bishop Adam Carolla Charles Herman-Wurmfeld Comedy Romance Sport
Ric Roman Waugh,Action Drama Thriller,Dwayne Johnson,Harold Perrineau,Nadine Velazquez,snitch,English,Dwayne Johnson Harold Perrineau Nadine Velazquez Ric Roman Waugh Action Drama Thriller
C. Jay Cox,Comedy Drama Romance,Joseph Gordon-Levitt,Rob McElhenney,Jacqueline Bisset,latter days,English,Joseph Gordon-Levitt Rob McElhenney Jacqueline Bisset C. Jay Cox Comedy Drama Romance
Mariette Monpierre,Drama,Stana Roumillac,Christophe Cherki,Teddy Doloir,elza,French,Stana Roumillac Christophe Cherki Teddy Doloir Mariette Monpierre Drama
Tommy Oliver,Drama,Bokeem Woodbine,Ruby Dee,Quinton Aaron,1982,English,Bokeem Woodbine Ruby Dee Quinton Aaron Tommy Oliver Drama
Jamie Travis,Comedy,James Wolk,Ari Graynor,Nia Vardalos,"for a good time, call...",English,James Wolk Ari Graynor Nia Vardalos Jamie Travis Comedy
Lee Toland Krieger,Comedy Drama Romance,Ari Graynor,Janel Parrish,Rob Huebel,celeste & jesse forever,English,Ari Graynor Janel Parrish Rob Huebel Lee Toland Krieger Comedy Drama Romance
Rich Christiano,Drama Fantasy Sci-Fi,Gavin MacLeod,D. David Morin,Hal Linden,time changer,English,Gavin MacLeod D. David Morin Hal Linden Rich Christiano Drama Fantasy Sci-Fi
Paul Andrew Williams,Crime Drama Thriller,Lorraine Stanley,Johnny Harris,Georgia Groome,london to brighton,English,Lorraine Stanley Johnny Harris Georgia Groome Paul Andrew Williams Crime Drama Thriller
Nick Love,Action Comedy Drama Sci-Fi,Eddie Griffin,Christopher Berry,Michelle Tabora,american hero,English,Eddie Griffin Christopher Berry Michelle Tabora Nick Love Action Comedy Drama Sci-Fi
Natalie Bible',Mystery Thriller,Tommy O'Reilly,Samaire Armstrong,Matt Cohen,windsor drive,English,Tommy O'Reilly Samaire Armstrong Matt Cohen Natalie Bible' Mystery Thriller
Asghar Farhadi,Drama Mystery,Shahab Hosseini,Leila Hatami,Peyman Moaadi,a separation,Persian,Shahab Hosseini Leila Hatami Peyman Moaadi Asghar Farhadi Drama Mystery
Justin Molotnikov,Thriller,Jo Hartley,Stephen McCole,Joe Cassidy,crying with laughter,English,Jo Hartley Stephen McCole Joe Cassidy Justin Molotnikov Thriller
Todd Solondz,Comedy Drama,Heather Matarazzo,Ken Leung,Christina Vidal,welcome to the dollhouse,English,Heather Matarazzo Ken Leung Christina Vidal Todd Solondz Comedy Drama
Victor Nunez,Drama Romance,Allison Dean,Todd Field,Dorothy Lyman,ruby in paradise,English,Allison Dean Todd Field Dorothy Lyman Victor Nunez Drama Romance
Peter Sollett,Drama Romance,Victor Rasuk,Melonie Diaz,Judy Marte,raising victor vargas,English,Victor Rasuk Melonie Diaz Judy Marte Peter Sollett Drama Romance
Georg Wilhelm Pabst,Crime Drama Romance,Louise Brooks,Francis Lederer,Fritz Kortner,pandora's box,German,Louise Brooks Francis Lederer Fritz Kortner Georg Wilhelm Pabst Crime Drama Romance
Daniel Davila,Drama,Martin Landau,Melora Walters,Diane Baker,harrison montgomery,English,Martin Landau Melora Walters Diane Baker Daniel Davila Drama
Jorge Gaggero,Drama,Norma Aleandro,Hilda Bernard,Claudia Lapacó,live-in maid,Spanish,Norma Aleandro Hilda Bernard Claudia Lapacó Jorge Gaggero Drama
Rod Lurie,Drama Thriller,Kevin Pollak,Kathryn Morris,Timothy Hutton,deterrence,English,Kevin Pollak Kathryn Morris Timothy Hutton Rod Lurie Drama Thriller
Michael Burke,Crime Drama Romance,Zachary Knighton,Tom Guiry,Ryan Donowho,the mudge boy,English,Zachary Knighton Tom Guiry Ryan Donowho Michael Burke Crime Drama Romance
Catherine Jelski,Drama,Leslie Bibb,Eion Bailey,Arly Jover,the young unknowns,English,Leslie Bibb Eion Bailey Arly Jover Catherine Jelski Drama
Shane Dawson,Comedy,Shane Dawson,Kurt Angle,Cherami Leigh,not cool,English,Shane Dawson Kurt Angle Cherami Leigh Shane Dawson Comedy
Tommy Wirkola,Comedy Horror,Bjørn Sundquist,Stig Frode Henriksen,Ane Dahl Torp,dead snow,Norwegian,Bjørn Sundquist Stig Frode Henriksen Ane Dahl Torp Tommy Wirkola Comedy Horror
Ryan Little,Action Adventure Drama War,Corbin Allred,Larry Bagby,Kirby Heyborne,saints and soldiers,English,Corbin Allred Larry Bagby Kirby Heyborne Ryan Little Action Adventure Drama War
Clark Baker,Horror Sci-Fi Short Thriller,Taylor Pigeon,Alan Pietruszewski,Whit Spurgeon,vessel,English,Taylor Pigeon Alan Pietruszewski Whit Spurgeon Clark Baker Horror Sci-Fi Short Thriller
George Lucas,Comedy Drama Music,Harrison Ford,Ron Howard,Mackenzie Phillips,american graffiti,English,Harrison Ford Ron Howard Mackenzie Phillips George Lucas Comedy Drama Music
Robert Greenwald,Documentary War,Scott Helvenston,Katy Helvenston-Wettengal,Donna Zovko,iraq for sale: the war profiteers,English,Scott Helvenston Katy Helvenston-Wettengal Donna Zovko Robert Greenwald Documentary War
Matt Maiellaro,Action Adventure Animation Comedy Fantasy Sci-Fi,Tina Fey,Fred Armisen,Chris Kattan,aqua teen hunger force colon movie film for theaters,English,Tina Fey Fred Armisen Chris Kattan Matt Maiellaro Action Adventure Animation Comedy Fantasy Sci-Fi
Colin Trevorrow,Comedy Drama Romance,Mary Lynn Rajskub,Mark Duplass,Jeff Garlin,safety not guaranteed,English,Mary Lynn Rajskub Mark Duplass Jeff Garlin Colin Trevorrow Comedy Drama Romance
Leslie Small,Comedy Documentary,Isaac C. Singleton Jr.,Larry King,Jeanette Branch,kevin hart: laugh at my pain,English,Isaac C. Singleton Jr. Larry King Jeanette Branch Leslie Small Comedy Documentary
Ben Wheatley,Crime Horror Thriller,MyAnna Buring,Ben Crompton,Neil Maskell,kill list,English,MyAnna Buring Ben Crompton Neil Maskell Ben Wheatley Crime Horror Thriller
Ti West,Horror,Lena Dunham,Jake Ryan,Pat Healy,the innkeepers,English,Lena Dunham Jake Ryan Pat Healy Ti West Horror
David S. Goyer,Drama Fantasy Horror Mystery Thriller,Gary Oldman,Atticus Shaffer,Rachel Brosnahan,the unborn,English,Gary Oldman Atticus Shaffer Rachel Brosnahan David S. Goyer Drama Fantasy Horror Mystery Thriller
Bernardo Bertolucci,Drama,Jean-Louis Trintignant,Stefania Sandrelli,Dominique Sanda,the conformist,Italian,Jean-Louis Trintignant Stefania Sandrelli Dominique Sanda Bernardo Bertolucci Drama
Neil Burger,Drama,Raymond J. Barry,Christel Khalil,Renee Faia,interview with the assassin,English,Raymond J. Barry Christel Khalil Renee Faia Neil Burger Drama
Oliver Blackburn,Crime Drama Horror Thriller,Julian Morris,Nichola Burley,Tom Burke,donkey punch,English,Julian Morris Nichola Burley Tom Burke Oliver Blackburn Crime Drama Horror Thriller
Jonathan Levine,Horror,Luke Grimes,Michael Welch,Whitney Able,all the boys love mandy lane,English,Luke Grimes Michael Welch Whitney Able Jonathan Levine Horror
Christopher Hutson,Horror,Dichen Lachman,Jennifer Lee Wiggins,Michele Morrow,bled,English,Dichen Lachman Jennifer Lee Wiggins Michele Morrow Christopher Hutson Horror
Fred Zinnemann,Thriller Western,Gary Cooper,Lloyd Bridges,Lon Chaney Jr.,high noon,English,Gary Cooper Lloyd Bridges Lon Chaney Jr. Fred Zinnemann Thriller Western
Steve James,Documentary Drama Sport,William Gates,Arthur Agee,Isiah Thomas,hoop dreams,English,William Gates Arthur Agee Isiah Thomas Steve James Documentary Drama Sport
David LaChapelle,Documentary Music,Kevin Scott Richardson,Christopher Toler,Tommy the Clown,rize,English,Kevin Scott Richardson Christopher Toler Tommy the Clown David LaChapelle Documentary Music
